iter	Passed	Remaining
174	644	3038
175	646	3026
176	648	3015
177	650	3005
178	653	2996
179	655	2985
180	657	2977
181	660	2970
182	662	2959
183	666	2956
184	668	2946
185	673	2948
186	694	3020
187	697	3013
188	699	3003
189	702	2993
190	704	2984
191	706	2973
192	709	2965
193	711	2954
194	713	2944
195	715	2935
196	717	2925
197	720	2916
198	735	2958
199	738	2952
200	742	2952
201	744	2941
202	747	2933
203	749	2924
204	751	2914
205	753	2906
206	757	2900
207	759	2892
208	762	2884
209	765	2878
210	774	2897
211	804	2988
212	813	3004
213	822	3019
214	829	3027
215	838	3044
216	869	3139
217	884	3171
218	892	3182
219	894	3172
220	897	3162
221	899	3152
222	902	3143
223	906	3140
224	908	3128
225	911	3122
226	914	3113
227	916	3102
228	918	3092
229	920	3081
230	922	3071
231	935	3097
232	938	3088
233	942	3083
234	944	3074
235	946	3064
236	948	3054
237	951	3045
238	953	3034
239	956	3027
240	958	3018
241	960	3009
242	963	3000
243	965	2990
244	967	2982
245	981	3007
246	992	3025
247	1006	3050
248	1014	3059
249	1025	3077
250	1052	3142
251	1075	3191
252	1105	3263
253	1125	3306
254	1145	3346
255	1159	3370
256	1168	3377
257	1177	3385
258	1186	3395
259	1192	3394
260	1198	3392
261	1205	3395
262	1223	3429
263	1241	3460
264	1251	3471
265	1265	3490
266	1269	3485
267	1295	3539
268	1306	3551
269	1313	3552
270	1320	3552
271	1327	3553
272	1333	3550
273	1338	3546
274	1345	3548
275	1363	3575
276	1374	3588
277	1379	3583
278	1389	3592
279	1396	3590
280	1402	3588
281	1408	3586
282	1425	3610
283	1431	3609
284	1437	3606
285	1443	3603
286	1449	3600
287	1455	3599
288	1468	3613
289	1482	3630
290	1491	3632
291	1496	3627
292	1501	3622
293	1507	3620
294	1513	3617
295	1527	3634
296	1537	3639
297	1544	3637
298	1550	3635
299	1555	3628
300	1559	3622
301	1568	3624
302	1575	3624
303	1582	3623
304	1589	3621
305	1595	3618
306	1600	3613
307	1605	3606
308	1611	3604
309	1616	3597
310	1620	3590
311	1633	3601
312	1641	3603
313	1646	3597
314	1651	3591
315	1656	3584
316	1660	3578
317	1666	3573
318	1671	3568
319	1676	3562
320	1680	3555
321	1685	3550
322	1693	3548
323	1705	3559
324	1711	3553
325	1720	3558
326	1724	3549
327	1730	3545
328	1735	3538
329	1739	3531
330	1744	3526
331	1749	3519
332	1755	3516
333	1766	3523
334	1770	3515
335	1776	3510
336	1787	3516
337	1794	3515
338	1798	3506
339	1801	3497
340	1807	3493
341	1812	3488
342	1817	3481
343	1823	3477
344	1827	3470
345	1831	3461
346	1837	3458
347	1842	3452
348	1847	3446
349	1855	3445
350	1859	3438
351	1867	3437
352	1872	3431
353	1875	3422
354	1880	3416
355	1886	3412
356	1891	3406
357	1895	3398
358	1900	3392
359	1905	3387
360	1914	3388
361	1918	3380
362	1926	3379
363	1929	3371
364	1933	3364
365	1937	3356
366	1944	3353
367	1947	3345
368	1952	3338
369	1958	3334
370	1962	3327
371	1965	3318
372	1973	3317
373	1978	3311
374	1982	3304
375	1989	3301
376	1995	3296
377	2006	3301
378	2010	3294
379	2020	3296
380	2024	3289
381	2028	3281
382	2036	3281
383	2040	3274
384	2048	3272
385	2053	3265
386	2056	3258
387	2065	3258
388	2069	3250
389	2073	3243
390	2081	3242
391	2085	3235
392	2089	3227
393	2095	3222
394	2100	3216
395	2103	3208
396	2109	3204
397	2114	3198
398	2118	3190
399	2122	3183
400	2129	3181
401	2133	3173
402	2139	3169
403	2143	3162
404	2148	3155
405	2154	3152
406	2160	3147
407	2163	3138
408	2169	3134
409	2172	3126
410	2177	3120
411	2181	3113
412	2187	3108
413	2191	3102
414	2194	3094
415	2201	3089
416	2205	3084
417	2209	3076
418	2216	3074
419	2221	3068
420	2229	3065
421	2234	3060
422	2239	3054
423	2243	3047
424	2246	3039
425	2250	3032
426	2256	3027
427	2260	3020
428	2265	3014
429	2271	3010
430	2274	3003
431	2279	2997
432	2283	2989
433	2287	2983
434	2291	2976
435	2295	2969
436	2303	2967
437	2306	2959
438	2310	2952
439	2313	2944
440	2318	2938
441	2321	2931
442	2325	2923
443	2334	2923
444	2338	2916
445	2342	2909
446	2348	2905
447	2352	2898
448	2355	2890
449	2360	2885
450	2364	2878
451	2368	2871
452	2372	2864
453	2377	2858
454	2382	2853
455	2385	2845
456	2391	2842
457	2395	2835
458	2399	2827
459	2404	2822
460	2408	2816
461	2412	2809
462	2417	2803
463	2422	2798
464	2427	2792
465	2430	2784
466	2435	2779
467	2440	2773
468	2443	2766
469	2447	2760
470	2452	2754
471	2455	2747
472	2460	2740
473	2464	2734
474	2468	2727
475	2471	2720
476	2474	2713
477	2477	2705
478	2483	2701
479	2486	2694
480	2489	2686
481	2494	2681
482	2498	2674
483	2502	2668
484	2506	2662
485	2511	2656
486	2514	2648
487	2517	2640
488	2521	2635
489	2525	2628
490	2528	2621
491	2543	2625
492	2545	2618
493	2550	2612
494	2555	2606
495	2558	2599
496	2561	2592
497	2564	2585
498	2573	2583
499	2575	2575
500	2579	2568
501	2583	2562
502	2587	2556
503	2590	2549
504	2594	2543
505	2602	2540
506	2606	2534
507	2614	2531
508	2616	2524
509	2619	2517
510	2627	2514
511	2631	2508
512	2634	2501
513	2637	2493
514	2642	2488
515	2646	2482
516	2649	2475
517	2652	2468
518	2656	2461
519	2659	2454
520	2662	2447
521	2672	2447
522	2677	2442
523	2680	2435
524	2684	2429
525	2689	2423
526	2692	2416
527	2698	2412
528	2702	2406
529	2705	2399
530	2708	2392
531	2711	2385
532	2721	2384
533	2724	2377
534	2727	2370
535	2735	2367
536	2737	2360
537	2740	2353
538	2744	2347
539	2751	2343
540	2754	2337
541	2758	2331
542	2766	2328
543	2773	2324
544	2777	2318
545	2781	2312
546	2783	2305
547	2790	2301
548	2793	2294
549	2796	2288
550	2799	2281
551	2803	2275
552	2806	2268
553	2809	2262
554	2813	2256
555	2819	2251
556	2824	2246
557	2827	2239
558	2830	2233
559	2838	2230
560	2842	2224
561	2846	2218
562	2850	2212
563	2853	2206
564	2856	2199
565	2860	2193
566	2865	2188
567	2871	2184
568	2878	2180
569	2883	2175
570	2887	2169
571	2896	2166
572	2900	2161
573	2903	2154
574	2907	2149
575	2911	2143
576	2915	2137
577	2918	2131
578	2924	2126
579	2928	2120
580	2932	2114
581	2936	2109
582	2944	2106
583	2948	2100
584	2957	2097
585	2961	2092
586	2964	2085
587	2967	2079
588	2972	2073
589	2974	2067
590	2991	2070
591	2995	2064
592	3001	2060
593	3006	2054
594	3009	2048
595	3015	2044
596	3019	2038
597	3022	2032
598	3025	2025
599	3029	2019
600	3032	2013
601	3036	2007
602	3039	2001
603	3041	1994
604	3046	1989
605	3050	1983
606	3053	1976
607	3055	1970
608	3061	1965
609	3065	1959
610	3068	1953
611	3071	1946
612	3079	1943
613	3082	1937
614	3085	1931
615	3091	1927
616	3095	1921
617	3097	1914
618	3101	1908
619	3106	1903
620	3109	1897
621	3112	1891
622	3115	1885
623	3119	1879
624	3123	1874
625	3126	1868
626	3129	1861
627	3132	1855
628	3138	1851
629	3141	1844
630	3144	1839
631	3147	1832
632	3152	1828
633	3156	1822
634	3158	1815
635	3162	1809
636	3165	1804
637	3169	1798
638	3172	1792
639	3176	1786
640	3179	1780
641	3183	1775
642	3186	1769
643	3190	1763
644	3192	1757
645	3198	1752
646	3202	1747
647	3205	1741
648	3208	1735
649	3211	1729
650	3215	1723
651	3218	1717
652	3220	1711
653	3223	1705
654	3227	1700
655	3231	1694
656	3233	1688
657	3236	1682
658	3242	1677
659	3245	1672
660	3248	1666
661	3251	1660
662	3255	1654
663	3258	1648
664	3261	1643
665	3264	1637
666	3268	1631
667	3272	1626
668	3275	1620
669	3278	1614
670	3282	1609
671	3286	1604
672	3290	1598
673	3293	1592
674	3296	1587
675	3300	1581
676	3303	1575
677	3306	1570
678	3308	1564
679	3311	1558
680	3315	1552
681	3318	1547
682	3321	1541
683	3324	1535
684	3329	1531
685	3333	1525
686	3336	1519
687	3339	1514
688	3342	1508
689	3349	1504
690	3353	1499
691	3356	1493
692	3360	1488
693	3364	1483
694	3367	1477
695	3370	1472
696	3375	1467
697	3378	1461
698	3382	1456
699	3385	1450
700	3389	1445
701	3393	1440
702	3396	1434
703	3398	1429
704	3401	1423
705	3404	1417
706	3407	1412
707	3409	1406
708	3412	1400
709	3417	1395
710	3421	1390
711	3423	1384
712	3426	1379
713	3429	1373
714	3433	1368
715	3437	1363
716	3440	1357
717	3442	1352
718	3447	1347
719	3450	1341
720	3454	1336
721	3457	1331
722	3463	1326
723	3466	1321
724	3469	1315
725	3472	1310
726	3478	1306
727	3481	1300
728	3484	1295
729	3488	1290
730	3493	1285
731	3496	1279
732	3498	1274
733	3501	1268
734	3506	1264
735	3511	1259
736	3514	1254
737	3517	1248
738	3525	1245
739	3528	1239
740	3531	1234
741	3535	1229
742	3540	1224
743	3542	1219
744	3546	1213
745	3549	1208
746	3555	1204
747	3558	1198
748	3561	1193
749	3564	1188
750	3570	1183
751	3573	1178
752	3575	1172
753	3578	1167
754	3584	1163
755	3588	1158
756	3591	1152
757	3594	1147
758	3597	1142
759	3602	1137
760	3605	1132
761	3608	1126
762	3611	1121
763	3617	1117
764	3620	1112
765	3624	1107
766	3628	1102
767	3631	1096
768	3634	1091
769	3636	1086
770	3639	1081
771	3646	1076
772	3649	1071
773	3652	1066
774	3655	1061
775	3659	1056
776	3663	1051
777	3667	1046
778	3670	1041
779	3678	1037
780	3681	1032
781	3683	1026
782	3686	1021
783	3691	1017
784	3694	1011
785	3697	1006
786	3699	1001
787	3703	996
788	3706	991
789	3710	986
790	3713	981
791	3717	976
792	3721	971
793	3723	966
794	3726	960
795	3730	956
796	3737	952
797	3740	946
798	3743	941
799	3751	937
800	3754	932
801	3758	927
802	3761	922
803	3770	919
804	3773	914
805	3776	909
806	3783	904
807	3785	899
808	3788	894
809	3791	889
810	3800	885
811	3803	880
812	3806	875
813	3811	870
814	3814	865
815	3817	860
816	3820	855
817	3823	850
818	3828	846
819	3831	841
820	3834	835
821	3837	830
822	3843	826
823	3846	821
824	3849	816
825	3852	811
826	3858	807
827	3861	802
828	3864	797
829	3870	792
830	3873	787
831	3876	782
832	3879	777
833	3882	772
834	3888	768
835	3891	763
836	3894	758
837	3898	753
838	3906	749
839	3909	744
840	3912	739
841	3916	734
842	3920	730
843	3922	724
844	3926	720
845	3929	715
846	3933	710
847	3936	705
848	3939	700
849	3943	695
850	3948	691
851	3953	686
852	3955	681
853	3958	676
854	3964	672
855	3967	667
856	3971	662
857	3978	658
858	3982	653
859	3985	648
860	3991	644
861	3995	639
862	3998	634
863	4001	629
864	4011	626
865	4014	621
866	4016	616
867	4021	611
868	4025	606
869	4028	601
870	4031	597
871	4036	592
872	4040	587
873	4045	583
874	4048	578
875	4053	573
876	4056	568
877	4059	564
878	4062	559
879	4067	554
880	4071	549
881	4074	545
882	4077	540
883	4081	535
884	4085	530
885	4089	526
886	4092	521
887	4097	516
888	4100	511
889	4103	507
890	4105	502
891	4108	497
892	4113	492
893	4117	488
894	4119	483
895	4122	478
896	4128	474
897	4130	469
898	4134	464
899	4137	459
900	4144	455
901	4147	450
902	4150	445
903	4152	441
904	4158	436
905	4161	431
906	4164	427
907	4167	422
908	4172	417
909	4175	412
910	4178	408
911	4181	403
912	4183	398
913	4188	394
914	4192	389
915	4196	384
916	4198	380
917	4203	375
918	4206	370
919	4210	366
920	4213	361
921	4220	357
922	4223	352
923	4226	347
924	4228	342
925	4235	338
926	4238	333
927	4256	330
928	4259	325
929	4267	321
930	4270	316
931	4277	312
932	4280	307
933	4283	302
934	4286	298
935	4296	293
936	4300	289
937	4308	284
938	4311	280
939	4314	275
940	4317	270
941	4322	266
942	4325	261
943	4328	256
944	4365	254
945	4371	249
946	4374	244
947	4376	240
948	4379	235
949	4383	230
950	4387	226
951	4390	221
952	4393	216
953	4396	212
954	4412	207
955	4416	203
956	4421	198
957	4424	193
958	4428	189
959	4431	184
960	4433	179
961	4437	175
962	4441	170
963	4444	165
964	4447	161
965	4450	156
966	4452	151
967	4457	147
968	4460	142
969	4464	138
970	4467	133
971	4471	128
972	4474	124
973	4477	119
974	4479	114
975	4482	110
976	4487	105
977	4489	100
978	4493	96
979	4495	91
980	4498	87
981	4504	82
982	4508	77
983	4511	73
984	4521	68
985	4524	64
986	4527	59
987	4533	55
988	4536	50
989	4539	45
990	4541	41
991	4546	36
992	4549	32
993	4552	27
994	4556	22
995	4560	18
996	4563	13
997	4566	9
998	4569	4
999	4573	0
